AccessID,UserID,UserRole,Department,Timestamp,DayOfWeek,HourOfDay,PatientID,ActionType,DataSensitivity,AccessLocation,AccessCountPerDay,IsOffHours,IsWeekend,RoleRiskWeight,AccessRiskScore
A00001,U057,Doctor,Clinical,03/06/2025 07:28,Tuesday,7,P818,View,Normal,Remote,11,1,0,2,40
A00002,U246,Nurse,Clinical,11/06/2025 07:18,Wednesday,7,P901,View,Normal,Remote,12,1,0,3,50
A00003,U053,Doctor,Clinical,27/06/2025 04:37,Friday,4,P456,View,Normal,Remote,63,1,0,2,40
A00004,U284,Receptionist,Admin,19/06/2025 02:00,Thursday,2,P574,View,Normal,Remote,17,1,0,4,60
A00005,U035,Doctor,Clinical,22/06/2025 08:43,Sunday,8,P955,View,Normal,Remote,32,0,1,2,20
A00006,U093,Nurse,Clinical,23/06/2025 19:38,Monday,19,P327,View,Normal,Onsite,41,1,0,3,50
A00007,U061,Doctor,Clinical,22/06/2025 04:09,Sunday,4,P680,Edit,Normal,Onsite,5,1,1,2,40
A00008,U104,Nurse,Clinical,12/06/2025 13:42,Thursday,13,P680,View,Normal,Remote,34,0,0,3,30
A00009,U128,Nurse,Clinical,20/06/2025 01:22,Friday,1,P374,Edit,Normal,Remote,77,1,0,3,50
A00010,U064,Doctor,Clinical,25/06/2025 11:33,Wednesday,11,P656,View,Normal,Remote,35,0,0,2,20
A00011,U216,Nurse,Clinical,04/06/2025 06:09,Wednesday,6,P381,Edit,High,Remote,17,1,0,3,80
A00012,U152,Nurse,Clinical,28/06/2025 08:06,Saturday,8,P499,Edit,Normal,Remote,2,0,1,3,30
A00013,U156,Nurse,Clinical,22/06/2025 04:44,Sunday,4,P303,View,Normal,Onsite,24,1,1,3,50
A00014,U094,Nurse,Clinical,18/06/2025 12:02,Wednesday,12,P493,View,Normal,Onsite,21,0,0,3,30
A00015,U293,Pharmacist,Pharmacy,02/06/2025 03:52,Monday,3,P828,View,Normal,Onsite,42,1,0,3,50
A00016,U065,Doctor,Clinical,14/06/2025 00:56,Saturday,0,P951,Edit,Normal,Onsite,42,1,1,2,40
A00017,U297,Pharmacist,Pharmacy,24/06/2025 14:21,Tuesday,14,P620,Edit,Normal,Onsite,80,0,0,3,30
A00018,U070,Doctor,Clinical,06/06/2025 07:56,Friday,7,P148,View,Normal,Remote,80,1,0,2,40
A00019,U005,Doctor,Clinical,10/06/2025 01:39,Tuesday,1,P808,View,Normal,Remote,74,1,0,2,40
A00020,U184,Nurse,Clinical,17/06/2025 21:20,Tuesday,21,P335,View,Normal,Remote,65,1,0,3,50
A00021,U270,Receptionist,Admin,15/06/2025 07:36,Sunday,7,P319,View,Normal,Onsite,15,1,1,4,60
A00022,U063,Doctor,Clinical,04/06/2025 14:43,Wednesday,14,P852,View,Normal,Onsite,45,0,0,2,20
A00023,U124,Nurse,Clinical,24/06/2025 10:15,Tuesday,10,P607,View,High,Onsite,2,0,0,3,60
A00024,U180,Nurse,Clinical,25/06/2025 00:49,Wednesday,0,P532,View,Normal,Onsite,41,1,0,3,50
A00025,U256,Admin,Admin,30/06/2025 11:27,Monday,11,P268,View,Normal,Onsite,39,0,0,5,50
A00026,U264,Admin,Admin,11/06/2025 21:00,Wednesday,21,P328,Edit,Normal,Onsite,36,1,0,5,70
A00027,U013,Doctor,Clinical,18/06/2025 23:39,Wednesday,23,P889,View,Normal,Onsite,12,1,0,2,40
A00028,U075,Doctor,Clinical,15/06/2025 13:42,Sunday,13,P685,View,Normal,Remote,51,0,1,2,20
A00029,U131,Nurse,Clinical,22/06/2025 22:38,Sunday,22,P910,View,High,Remote,3,1,1,3,80
A00030,U197,Nurse,Clinical,25/06/2025 15:16,Wednesday,15,P195,View,Normal,Onsite,73,0,0,3,30
A00031,U258,Admin,Admin,10/06/2025 10:49,Tuesday,10,P753,View,Normal,Remote,68,0,0,5,50
A00032,U057,Doctor,Clinical,21/06/2025 21:27,Saturday,21,P244,View,Normal,Remote,5,1,1,2,40
A00033,U298,Pharmacist,Pharmacy,18/06/2025 04:09,Wednesday,4,P196,View,Normal,Remote,45,1,0,3,50
A00034,U046,Doctor,Clinical,19/06/2025 02:25,Thursday,2,P409,View,Normal,Onsite,39,1,0,2,40
A00035,U204,Nurse,Clinical,15/06/2025 12:26,Sunday,12,P725,Edit,Normal,Remote,68,0,1,3,30
A00036,U055,Doctor,Clinical,15/06/2025 01:47,Sunday,1,P749,View,Normal,Remote,26,1,1,2,40
A00037,U027,Doctor,Clinical,11/06/2025 03:09,Wednesday,3,P566,View,High,Onsite,23,1,0,2,70
A00038,U296,Pharmacist,Pharmacy,02/06/2025 15:58,Monday,15,P426,View,High,Remote,67,0,0,3,60
A00039,U074,Doctor,Clinical,04/06/2025 20:08,Wednesday,20,P103,View,Normal,Remote,20,1,0,2,40
A00040,U105,Nurse,Clinical,13/06/2025 07:42,Friday,7,P525,View,High,Onsite,12,1,0,3,80
A00041,U148,Nurse,Clinical,13/06/2025 01:27,Friday,1,P478,View,Normal,Onsite,42,1,0,3,50
A00042,U161,Nurse,Clinical,21/06/2025 20:15,Saturday,20,P630,View,Normal,Remote,58,1,1,3,50
A00043,U001,Doctor,Clinical,13/06/2025 04:12,Friday,4,P622,View,Normal,Onsite,11,1,0,2,40
A00044,U256,Admin,Admin,14/06/2025 09:19,Saturday,9,P253,View,Normal,Onsite,36,0,1,5,50
A00045,U038,Doctor,Clinical,11/06/2025 20:57,Wednesday,20,P418,View,Normal,Remote,67,1,0,2,40
A00046,U256,Admin,Admin,06/06/2025 12:13,Friday,12,P770,Edit,Normal,Onsite,58,0,0,5,50
A00047,U202,Nurse,Clinical,05/06/2025 18:58,Thursday,18,P337,View,Normal,Remote,39,0,0,3,30
A00048,U074,Doctor,Clinical,03/06/2025 01:08,Tuesday,1,P269,Edit,Normal,Remote,9,1,0,2,40
A00049,U016,Doctor,Clinical,28/06/2025 01:53,Saturday,1,P187,Edit,Normal,Onsite,5,1,1,2,40
A00050,U300,Pharmacist,Pharmacy,11/06/2025 12:43,Wednesday,12,P444,View,High,Onsite,56,0,0,3,60
A00051,U014,Doctor,Clinical,26/06/2025 07:46,Thursday,7,P813,View,Normal,Onsite,39,1,0,2,40
A00052,U263,Admin,Admin,28/06/2025 00:35,Saturday,0,P759,Edit,Normal,Onsite,73,1,1,5,70
A00053,U087,Nurse,Clinical,06/06/2025 01:16,Friday,1,P381,View,Normal,Remote,70,1,0,3,50
A00054,U136,Nurse,Clinical,25/06/2025 17:56,Wednesday,17,P877,View,High,Onsite,27,0,0,3,60
A00055,U197,Nurse,Clinical,29/06/2025 10:18,Sunday,10,P893,View,Normal,Onsite,26,0,1,3,30
A00056,U284,Receptionist,Admin,27/06/2025 07:53,Friday,7,P477,View,Normal,Remote,64,1,0,4,60
A00057,U069,Doctor,Clinical,02/06/2025 09:29,Monday,9,P679,Edit,Normal,Onsite,66,0,0,2,20
A00058,U090,Nurse,Clinical,15/06/2025 11:41,Sunday,11,P679,View,Normal,Remote,54,0,1,3,30
A00059,U091,Nurse,Clinical,26/06/2025 07:54,Thursday,7,P448,Edit,Normal,Onsite,20,1,0,3,50
A00060,U292,Pharmacist,Pharmacy,09/06/2025 11:12,Monday,11,P969,Export,Normal,Onsite,51,0,0,3,50
A00061,U022,Doctor,Clinical,03/06/2025 23:15,Tuesday,23,P875,View,Normal,Onsite,68,1,0,2,40
A00062,U084,Doctor,Clinical,18/06/2025 00:05,Wednesday,0,P620,Edit,Normal,Onsite,75,1,0,2,40
A00063,U164,Nurse,Clinical,03/06/2025 15:27,Tuesday,15,P772,View,Normal,Remote,43,0,0,3,30
A00064,U223,Nurse,Clinical,27/06/2025 16:00,Friday,16,P242,View,Normal,Onsite,67,0,0,3,30
A00065,U108,Nurse,Clinical,28/06/2025 07:57,Saturday,7,P432,View,Normal,Remote,4,1,1,3,50
A00066,U289,Pharmacist,Pharmacy,09/06/2025 11:48,Monday,11,P620,View,Normal,Remote,48,0,0,3,30
A00067,U261,Admin,Admin,02/06/2025 16:27,Monday,16,P878,View,Normal,Onsite,6,0,0,5,50
A00068,U145,Nurse,Clinical,28/06/2025 14:28,Saturday,14,P203,View,Normal,Remote,46,0,1,3,30
A00069,U094,Nurse,Clinical,27/06/2025 06:39,Friday,6,P469,View,High,Onsite,52,1,0,3,80
A00070,U129,Nurse,Clinical,09/06/2025 10:38,Monday,10,P609,Edit,Normal,Onsite,36,0,0,3,30
A00071,U164,Nurse,Clinical,12/06/2025 19:37,Thursday,19,P732,View,Normal,Remote,47,1,0,3,50
A00072,U084,Doctor,Clinical,07/06/2025 17:50,Saturday,17,P966,View,Normal,Remote,39,0,1,2,20
A00073,U027,Doctor,Clinical,06/06/2025 06:02,Friday,6,P390,View,Normal,Onsite,30,1,0,2,40
A00074,U125,Nurse,Clinical,07/06/2025 23:40,Saturday,23,P744,View,Normal,Onsite,4,1,1,3,50
A00075,U219,Nurse,Clinical,19/06/2025 10:40,Thursday,10,P633,View,Normal,Remote,78,0,0,3,30
A00076,U042,Doctor,Clinical,10/06/2025 06:02,Tuesday,6,P599,View,Normal,Onsite,38,1,0,2,40
A00077,U117,Nurse,Clinical,05/06/2025 06:08,Thursday,6,P276,Export,Normal,Onsite,6,1,0,3,70
A00078,U178,Nurse,Clinical,27/06/2025 22:50,Friday,22,P391,View,Normal,Remote,23,1,0,3,50
